Team,Goals_scored,Goals_received
"Abkhazia","4","6"
"Afghanistan","29","49"
"Albania","145","149"
"Alderney","3","12"
"Algeria","407","351"
"Ambazonia","3","5"
"American Samoa","0","6"
"Andalusia","25","14"
"Andorra","18","104"
"Angola","183","199"
"Anguilla","12","41"
"Antigua and Barbuda","80","96"
"Argentina","1303","644"
"Armenia","80","139"
"Artsakh","4","1"
"Aruba","73","123"
"Asturias","3","1"
"Australia","495","408"
"Austria","912","867"
"Azerbaijan","122","152"
"Bahamas","11","25"
"Bahrain","292","290"
"Bangladesh","55","82"
"Barawa","7","16"
"Barbados","176","251"
"Basque Country","156","76"
"Belarus","170","174"
"Belgium","888","939"
"Belize","32","28"
"Benin","146","272"
"Bermuda","81","136"
"Bhutan","8","36"
"Bolivia","269","586"
"Bonaire","1","1"
"Bosnia and Herzegovi","95","126"
"Botswana","127","175"
"Brazil","1640","680"
"British Virgin Islan","37","49"
"Brittany","16","12"
"Brunei","13","49"
"Bulgaria","492","580"
"Burkina Faso","284","353"
"Burundi","61","74"
"Cambodia","70","132"
"Cameroon","421","414"
"Canada","205","317"
"Canary Islands","11","3"
"Cape Verde","69","63"
"Cascadia","6","3"
"Catalonia","75","84"
"Cayman Islands","14","56"
"Central African Repu","24","60"
"Central Spain","2","4"
"Chad","15","42"
"Chagos Islands","17","33"
"Chechnya","3","29"
"Chile","798","792"
"China PR","572","468"
"Cilento","0","2"
"Colombia","506","469"
"Comoros","34","28"
"Congo","232","274"
"Cook Islands","4","14"
"Corsica","7","4"
"Costa Rica","341","382"
"Croatia","325","228"
"Cuba","122","186"
"Curaçao","228","190"
"Cyprus","103","172"
"Czech Republic","273","187"
"Czechoslovakia","579","492"
"DR Congo","356","362"
"Denmark","700","619"
"Djibouti","20","76"
"Dominica","52","78"
"Dominican Republic","41","59"
"Donetsk PR","8","7"
"Ecuador","472","639"
"Egypt","648","457"
"El Salvador","204","395"
"Elba Island","5","0"
"Ellan Vannin","14","7"
"England","1032","542"
"Equatorial Guinea","55","73"
"Eritrea","5","12"
"Estonia","299","453"
"Eswatini","99","202"
"Ethiopia","258","223"
"Faroe Islands","76","152"
"Fiji","129","142"
"Finland","435","692"
"France","1048","923"
"Franconia","8","5"
"French Guiana","70","132"
"Gabon","209","250"
"Galicia","19","20"
"Gambia","94","143"
"Georgia","158","161"
"German DR","343","239"
"Germany","1584","959"
"Ghana","647","469"
"Gibraltar","22","45"
"Gozo","17","1"
"Greece","334","413"
"Greenland","9","20"
"Grenada","90","126"
"Guadeloupe","159","183"
"Guam","45","24"
"Guatemala","247","325"
"Guernsey","4","8"
"Guinea","314","330"
"Guinea-Bissau","48","73"
"Guyana","175","264"
"Haiti","281","334"
"Honduras","288","304"
"Hong Kong","200","197"
"Hungary","1296","956"
"Iceland","323","360"
"India","198","298"
"Indonesia","300","351"
"Iran","486","281"
"Iraq","313","280"
"Israel","350","360"
"Italy","862","549"
"Ivory Coast","553","417"
"Jamaica","373","469"
"Japan","539","451"
"Jersey","7","14"
"Jordan","255","244"
"Kazakhstan","79","94"
"Kenya","532","525"
"Kernow","30","18"
"Kosovo","52","35"
"Kuwait","367","333"
"Kyrgyzstan","59","130"
"Laos","27","88"
"Latvia","219","332"
"Lebanon","118","192"
"Lesotho","95","185"
"Liberia","88","137"
"Libya","236","227"
"Liechtenstein","36","189"
"Lithuania","183","339"
"Luhansk PR","9","12"
"Luxembourg","118","362"
"Macau","18","93"
"Madagascar","151","149"
"Madrid","1","2"
"Malawi","379","401"
"Malaysia","264","291"
"Maldives","45","76"
"Mali","357","367"
"Malta","130","272"
"Manchukuo","0","16"
"Martinique","267","184"
"Mauritania","59","124"
"Mauritius","207","154"
"Mayotte","6","11"
"Mexico","840","697"
"Micronesia","8","7"
"Moldova","91","145"
"Monaco","34","51"
"Mongolia","18","67"
"Montenegro","65","71"
"Morocco","428","300"
"Mozambique","143","192"
"Myanmar","106","176"
"Namibia","61","110"
"Nepal","50","98"
"Netherlands","1084","800"
"New Caledonia","158","148"
"New Zealand","333","412"
"Nicaragua","61","127"
"Niger","104","168"
"Nigeria","543","435"
"North Korea","155","174"
"North Macedonia","131","128"
"North Vietnam","33","45"
"Northern Cyprus","4","12"
"Northern Ireland","137","198"
"Northern Mariana Isl","7","21"
"Norway","628","706"
"Occitania","51","12"
"Oman","274","248"
"Padania","2","0"
"Pakistan","81","157"
"Palau","4","21"
"Palestine","83","122"
"Panama","223","331"
"Panjab","26","11"
"Papua New Guinea","18","54"
"Paraguay","631","691"
"Parishes of Jersey","2","1"
"Peru","583","647"
"Philippines","107","162"
"Poland","963","836"
"Portugal","578","476"
"Provence","9","8"
"Puerto Rico","32","118"
"Qatar","339","339"
"Raetia","22","59"
"Republic of Ireland","380","378"
"Romani people","5","14"
"Romania","572","563"
"Russia","681","488"
"Rwanda","75","86"
"Ryky","0","9"
"Réunion","96","186"
"Saarland","6","18"
"Saint Barthélemy","25","30"
"Saint Helena","2","7"
"Saint Kitts and Nevi","78","89"
"Saint Lucia","63","116"
"Saint Martin","28","24"
"Saint Vincent and th","63","55"
"Samoa","1","11"
"San Marino","10","80"
"Saudi Arabia","459","418"
"Saugeais","1","1"
"Scotland","338","359"
"Sealand","22","15"
"Seborga","2","3"
"Senegal","376","345"
"Serbia","195","183"
"Seychelles","32","60"
"Sierra Leone","96","174"
"Silesia","24","17"
"Singapore","302","365"
"Sint Maarten","9","15"
"Slovakia","201","215"
"Slovenia","123","130"
"Solomon Islands","61","51"
"Somalia","15","55"
"Somaliland","4","8"
"South Africa","329","262"
"South Korea","599","483"
"South Ossetia","5","4"
"South Sudan","5","17"
"Spain","837","465"
"Sri Lanka","59","157"
"Sudan","161","225"
"Suriname","377","245"
"Surrey","3","1"
"Sweden","1177","881"
"Switzerland","729","920"
"Syria","199","282"
"Székely Land","3","0"
"Sápmi","2","3"
"São Tomé and Príncip","13","27"
"Tahiti","123","118"
"Taiwan","80","102"
"Tajikistan","74","113"
"Tamil Eelam","5","0"
"Tanzania","314","463"
"Thailand","225","260"
"Tibet","5","12"
"Ticino","1","5"
"Timor-Leste","7","25"
"Togo","225","312"
"Tonga","2","8"
"Trinidad and Tobago","607","484"
"Tunisia","497","454"
"Turkey","434","455"
"Turkmenistan","58","98"
"Turks and Caicos Isl","5","18"
"Tuvalu","3","9"
"Uganda","488","422"
"Ukraine","188","164"
"United Arab Emirates","337","337"
"United Koreans in Ja","9","0"
"United States","546","634"
"United States Virgin","3","28"
"Uruguay","977","725"
"Uzbekistan","224","214"
"Vanuatu","52","116"
"Vatican City","4","17"
"Venezuela","291","417"
"Vietnam","110","92"
"Vietnam Republic","37","41"
"Wales","174","219"
"West Papua","1","1"
"Yemen","57","102"
"Yemen DPR","12","30"
"Ynys Môn","7","2"
"Yorkshire","26","11"
"Yugoslavia","564","536"
"Zambia","621","457"
"Zanzibar","61","236"
"Zimbabwe","274","274"
"Åland Islands","2","2"
